('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         756048 function calls (735462 primitive calls) in 2.294 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
      839    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    20139    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
     2779    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
      844    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        6    0.002    0.000    0.004    0.001 typing.py:2780(__new__)
        2    0.000    0.000    0.004    0.002 request.py:1(<module>)
      9/7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
     9492    0.002    0.000    0.004    0.000 _parser.py:164(__len__)
    85/79    0.000    0.000    0.004    0.000 typing.py:392(inner)
      9/7    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
      212    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
     2191    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:323(prepare_markup)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    11421    0.002    0.000    0.003    0.000 _parser.py:256(match)
        1    0.000    0.000    0.003    0.003 dammit.py:541(__init__)
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
        1    0.000    0.000    0.003    0.003 dammit.py:646(_convert_from)
        1    0.003    0.003    0.003    0.003 dammit.py:677(_to_unicode)
      156    0.002    0.000    0.003    0.000 typing.py:175(_type_check)
     2180    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    15356    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      254    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     1945    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
      802    0.002    0.000    0.003    0.000 _parser.py:372(_escape)
6226/6158    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     8148    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    32/26    0.000    0.000    0.003    0.000 typing.py:508(__getitem__)
     2778    0.002    0.000    0.003    0.000 __init__.py:558(popTag)
        2    0.000    0.000    0.003    0.001 models.py:1(<module>)
