('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728010 function calls (708504 primitive calls) in 2.335 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      285    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      271    0.002    0.000    0.092    0.000 __init__.py:280(_compile)
      270    0.000    0.000    0.092    0.000 __init__.py:226(compile)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      265    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      254    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      254    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      250    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      215    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      210    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      208    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      206    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      206    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      190    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      185    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      182    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  181/150    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      174    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    173/4    0.001    0.000    0.206    0.052 <frozen importlib._bootstrap>:1349(_find_and_load)
    173/4    0.001    0.000    0.206    0.052 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      173    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
