('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728020 function calls (708499 primitive calls) in 1.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14587    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     8201    0.006    0.000    0.006    0.000 element.py:156(setup)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _htmlparser.py:1(<module>)
 3742/298    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
      125    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     6267    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.005    0.005 ipaddress.py:1(<module>)
      725    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 api.py:1(<module>)
       16    0.003    0.000    0.004    0.000 enum.py:1708(convert_class)
     8344    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 cd.py:1(<module>)
       43    0.002    0.000    0.004    0.000 <frozen abc>:105(__new__)
      173    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
    19551    0.004    0.000    0.004    0.000 _parser.py:240(__next)
      133    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.004    0.004 _common.py:1(<module>)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
     2779    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
        1    0.000    0.000    0.004    0.004 ipaddress.py:1569(_IPv4Constants)
       21    0.000    0.000    0.004    0.000 ipaddress.py:1502(__init__)
        2    0.000    0.000    0.004    0.002 _collections.py:1(<module>)
      9/7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
      9/7    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
    10722    0.002    0.000    0.004    0.000 _parser.py:256(match)
       55    0.000    0.000    0.004    0.000 ipaddress.py:533(_split_addr_prefix)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
     5437    0.003    0.000    0.004    0.000 _parser.py:176(append)
  136/131    0.001    0.000    0.003    0.000 css_parser.py:385(freeze)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
    12150    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     1796    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
    75/69    0.000    0.000    0.003    0.000 typing.py:392(inner)
      680    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    19760    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     3831    0.003    0.000    0.003    0.000 _parser.py:293(tell)
      680    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.003    0.003 pretty.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:323(prepare_markup)
        1    0.000    0.000    0.003    0.003 dammit.py:541(__init__)
      104    0.002    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.003    0.003 dammit.py:646(_convert_from)
        1    0.003    0.003    0.003    0.003 dammit.py:677(_to_unicode)
     1945    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
       17    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      320    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
     8148    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
      125    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
     2778    0.002    0.000    0.003    0.000 __init__.py:558(popTag)
     2191    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
    14897    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
      206    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      250    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    15388    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
      152    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     9081    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
       49    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
     5710    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
     2610    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
      988    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
    13744    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
     1439    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
     9621    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     1245    0.000    0.000    0.002    0.000 enum.py:1544(_get_value)
  136/131    0.001    0.000    0.002    0.000 css_parser.py:375(_freeze_relations)
      317    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
    30/24    0.000    0.000    0.002    0.000 typing.py:508(__getitem__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     4241    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
      147    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
       24    0.000    0.000    0.001    0.000 typing.py:687(Union)
      160    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
     2711    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
     5656    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       57    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.001    0.001 ssl_.py:219(create_urllib3_context)
  113/111    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
     2778    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      833    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
     2733    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      404    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      914    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     7321    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      412    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     5513    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1265    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      772    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
        2    0.000    0.000    0.001    0.000 parser.py:56(parsestr)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
      254    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        3    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        2    0.000    0.000    0.001    0.000 parser.py:41(parse)
      710    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
     5678    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      151    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     5547    0.001    0.000    0.001    0.000 element.py:2062(descendants)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 request.py:1(<module>)
     3440    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      428    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        4    0.000    0.000    0.001    0.000 feedparser.py:171(feed)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      206    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      895    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     3400    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
     2651    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       52    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
      125    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
     9221    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
     2779    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     4241    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
